1,Wii Sports,2006,E,1,1
2,Super Mario Bros.,1985,,2,1
3,Mario Kart Wii,2008,E,3,1
4,Wii Sports Resort,2009,E,1,1
5,Pokemon Red/Pokemon Blue,1996,,4,1
6,Tetris,1989,,5,1
7,New Super Mario Bros.,2006,E,2,1
8,Wii Play,2006,E,6,1
9,New Super Mario Bros. Wii,2009,E,2,1
10,Duck Hunt,1984,,7,1
11,Nintendogs,2005,,8,1
12,Mario Kart DS,2005,E,3,1
13,Pokemon Gold/Pokemon Silver,1999,,4,1
14,Wii Fit,2007,E,1,1
15,Kinect Adventures!,2010,E,6,2
16,Wii Fit Plus,2009,E,1,1
17,Grand Theft Auto V,2013,M,9,3
18,Grand Theft Auto: San Andreas,2004,M,9,3
19,Super Mario World,1990,,2,1
20,Brain Age: Train Your Brain in Minutes a Day,2005,E,6,1
21,Pokemon Diamond/Pokemon Pearl,2006,,4,1
22,Super Mario Land,1989,,2,1
23,Super Mario Bros. 3,1988,,2,1
24,Grand Theft Auto: Vice City,2002,M,9,3
25,Pokemon Ruby/Pokemon Sapphire,2002,,4,1
26,Brain Age 2: More Training in Minutes a Day,2005,E,5,1
27,Pokemon Black/Pokemon White,2010,,4,1
28,Gran Turismo 3: A-Spec,2001,E,3,4
29,Call of Duty: Modern Warfare 3,2011,M,7,5
30,Pokémon Yellow: Special Pikachu Edition,1998,,4,1
31,Call of Duty: Black Ops 3,2015,,7,5
32,Call of Duty: Black Ops,2010,M,7,5
33,Pokemon X/Pokemon Y,2013,,4,1
34,Call of Duty: Black Ops II,2012,M,7,5
35,Call of Duty: Modern Warfare 2,2009,M,7,5
36,Grand Theft Auto III,2001,M,9,3
37,Super Smash Bros. Brawl,2008,T,10,1
38,Mario Kart 7,2011,E,3,1
39,Animal Crossing: Wild World,2005,E,8,1
40,Halo 3,2007,M,7,2
41,Super Mario 64,1996,,2,1
42,Pokemon HeartGold/Pokemon SoulSilver,2009,,9,1
43,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,,4,1
44,Gran Turismo 4,2004,E,3,4
45,Super Mario Galaxy,2007,E,2,1
46,Super Mario Land 2: 6 Golden Coins,1992,,11,1
47,Grand Theft Auto IV,2008,M,9,3
48,Gran Turismo,1997,E,3,4
49,Super Mario 3D Land,2011,E,2,1
50,Gran Turismo 5,2010,E,3,4
51,Super Mario All-Stars,1993,,2,1
52,Pokemon FireRed/Pokemon LeafGreen,2004,,4,1
53,Call of Duty: Ghosts,2013,M,7,5
54,Just Dance 3,2011,E10+,6,6
55,New Super Mario Bros. 2,2012,E,2,1
56,Mario Kart 64,1996,,3,1
57,Halo: Reach,2010,M,7,2
58,Final Fantasy VII,1997,T,4,4
59,Halo 4,2012,M,7,2
60,Gran Turismo 2,1999,T,3,4
61,Just Dance 2,2010,E10+,6,6
62,Call of Duty 4: Modern Warfare,2007,M,7,5
63,Donkey Kong Country,1994,,2,1
